problem,configuration,without,metric,mean,std
REGRESSION,REGULAR-true-REGRESSION,no-skip,tst-loss,57.04219599999999,14.429731049636855
REGRESSION,REGULAR-true-REGRESSION,no-skip,tst-acc,0.0,0.0
REGRESSION,REGULAR-true-REGRESSION,no-skip,real-val-accr,0.0,0.0
REGRESSION,REGULAR-true-REGRESSION,no-skip,real-val-loss,34.43403980000001,3.2558764898295127
REGRESSION,FB1-true-REGRESSION,no-skip,tst-loss,155.71405620000002,121.32060893797005
REGRESSION,FB1-true-REGRESSION,no-skip,tst-acc,0.0,0.0
REGRESSION,FB1-true-REGRESSION,no-skip,real-val-accr,0.0,0.0
REGRESSION,FB1-true-REGRESSION,no-skip,real-val-loss,81.417446,11.685259472122304
REGRESSION,FB1-true-REGRESSION,no-feedback,tst-loss,716.2602220000001,1181.8977461183752
REGRESSION,FB1-true-REGRESSION,no-feedback,tst-acc,0.0,0.0
REGRESSION,FB1-true-REGRESSION,no-feedback,real-val-accr,0.0,0.0
REGRESSION,FB1-true-REGRESSION,no-feedback,real-val-loss,81.417446,11.685259472122304
REGRESSION,FB2x2-true-REGRESSION,no-skip,tst-loss,35.1189708,1.2446246395887244
REGRESSION,FB2x2-true-REGRESSION,no-skip,tst-acc,0.0,0.0
REGRESSION,FB2x2-true-REGRESSION,no-skip,real-val-accr,0.0,0.0
REGRESSION,FB2x2-true-REGRESSION,no-skip,real-val-loss,34.023770199999994,0.6374781847782395
REGRESSION,FB2x2-true-REGRESSION,no-feedback,tst-loss,167.99490999999998,13.054955929952424
REGRESSION,FB2x2-true-REGRESSION,no-feedback,tst-acc,0.0,0.0
REGRESSION,FB2x2-true-REGRESSION,no-feedback,real-val-accr,0.0,0.0
REGRESSION,FB2x2-true-REGRESSION,no-feedback,real-val-loss,34.023770199999994,0.6374781847782395
REGRESSION,FB2x3-true-REGRESSION,no-skip,tst-loss,39.002251799999996,2.25095053726326
REGRESSION,FB2x3-true-REGRESSION,no-skip,tst-acc,0.0,0.0
REGRESSION,FB2x3-true-REGRESSION,no-skip,real-val-accr,0.0,0.0
REGRESSION,FB2x3-true-REGRESSION,no-skip,real-val-loss,35.111735599999996,2.270365727847529
REGRESSION,FB2x3-true-REGRESSION,no-feedback,tst-loss,160.30866999999998,20.790186699531105
REGRESSION,FB2x3-true-REGRESSION,no-feedback,tst-acc,0.0,0.0
REGRESSION,FB2x3-true-REGRESSION,no-feedback,real-val-accr,0.0,0.0
REGRESSION,FB2x3-true-REGRESSION,no-feedback,real-val-loss,35.111735599999996,2.270365727847529
REGRESSION,FB2x4-true-REGRESSION,no-skip,tst-loss,44.3922636,4.97318021748686
REGRESSION,FB2x4-true-REGRESSION,no-skip,tst-acc,0.0,0.0
REGRESSION,FB2x4-true-REGRESSION,no-skip,real-val-accr,0.0,0.0
REGRESSION,FB2x4-true-REGRESSION,no-skip,real-val-loss,35.9820264,2.9378705479052414
REGRESSION,FB2x4-true-REGRESSION,no-feedback,tst-loss,163.163212,10.460942334939809
REGRESSION,FB2x4-true-REGRESSION,no-feedback,tst-acc,0.0,0.0
REGRESSION,FB2x4-true-REGRESSION,no-feedback,real-val-accr,0.0,0.0
REGRESSION,FB2x4-true-REGRESSION,no-feedback,real-val-loss,35.9820264,2.9378705479052414
REGRESSION,FB1-false-REGRESSION,no-feedback,tst-loss,152.002094,41.42889288044835
REGRESSION,FB1-false-REGRESSION,no-feedback,tst-acc,0.0,0.0
REGRESSION,FB1-false-REGRESSION,no-feedback,real-val-accr,0.0,0.0
REGRESSION,FB1-false-REGRESSION,no-feedback,real-val-loss,92.958225,20.19605564505505
REGRESSION,FB2x2-false-REGRESSION,no-feedback,tst-loss,169.69657,15.353246659760275
REGRESSION,FB2x2-false-REGRESSION,no-feedback,tst-acc,0.0,0.0
REGRESSION,FB2x2-false-REGRESSION,no-feedback,real-val-accr,0.0,0.0
REGRESSION,FB2x2-false-REGRESSION,no-feedback,real-val-loss,33.951541000000006,1.9739366424304505
REGRESSION,FB2x3-false-REGRESSION,no-feedback,tst-loss,169.44439200000002,13.08093917522653
REGRESSION,FB2x3-false-REGRESSION,no-feedback,tst-acc,0.0,0.0
REGRESSION,FB2x3-false-REGRESSION,no-feedback,real-val-accr,0.0,0.0
REGRESSION,FB2x3-false-REGRESSION,no-feedback,real-val-loss,34.794998,2.227211518731797
REGRESSION,FB2x4-false-REGRESSION,no-feedback,tst-loss,177.81113200000001,5.0561249639557
REGRESSION,FB2x4-false-REGRESSION,no-feedback,tst-acc,0.0,0.0
REGRESSION,FB2x4-false-REGRESSION,no-feedback,real-val-accr,0.0,0.0
REGRESSION,FB2x4-false-REGRESSION,no-feedback,real-val-loss,38.2285816,3.3478074016388457
