problem,configuration,without,metric,mean,std
CLASSIFICATION,REGULAR-true-CLASSIFICATION,no-skip,tst-loss,1.33570612,1.3296977166447408
CLASSIFICATION,REGULAR-true-CLASSIFICATION,no-skip,tst-acc,0.6297400000000001,0.25961709188726384
CLASSIFICATION,REGULAR-true-CLASSIFICATION,no-skip,real-val-accr,0.78132,0.011850637113674544
CLASSIFICATION,REGULAR-true-CLASSIFICATION,no-skip,real-val-loss,0.604672368,0.033937545650386945
CLASSIFICATION,FB1-true-CLASSIFICATION,no-skip,tst-loss,1.8647020399999998,1.2111942152087594
CLASSIFICATION,FB1-true-CLASSIFICATION,no-skip,tst-acc,0.42728,0.20115066393129305
CLASSIFICATION,FB1-true-CLASSIFICATION,no-skip,real-val-accr,0.7158,0.12480113781532605
CLASSIFICATION,FB1-true-CLASSIFICATION,no-skip,real-val-loss,0.7600929059999999,0.28586813248811915
CLASSIFICATION,FB1-true-CLASSIFICATION,no-feedback,tst-loss,0.8414862240000002,0.2807259753562183
CLASSIFICATION,FB1-true-CLASSIFICATION,no-feedback,tst-acc,0.6838599999999999,0.11056445360060349
CLASSIFICATION,FB1-true-CLASSIFICATION,no-feedback,real-val-accr,0.7158,0.12480113781532605
CLASSIFICATION,FB1-true-CLASSIFICATION,no-feedback,real-val-loss,0.7600929059999999,0.28586813248811915
CLASSIFICATION,FB2x2-true-CLASSIFICATION,no-skip,tst-loss,1.649577076,1.04713717588357
CLASSIFICATION,FB2x2-true-CLASSIFICATION,no-skip,tst-acc,0.47742000000000007,0.22904324831786682
CLASSIFICATION,FB2x2-true-CLASSIFICATION,no-skip,real-val-accr,0.78542,0.0063480390673025956
CLASSIFICATION,FB2x2-true-CLASSIFICATION,no-skip,real-val-loss,0.5926721260000001,0.021163720830192044
CLASSIFICATION,FB2x2-true-CLASSIFICATION,no-feedback,tst-loss,0.5926721260000001,0.021163720830192044
CLASSIFICATION,FB2x2-true-CLASSIFICATION,no-feedback,tst-acc,0.78542,0.0063480390673025956
CLASSIFICATION,FB2x2-true-CLASSIFICATION,no-feedback,real-val-accr,0.78542,0.0063480390673025956
CLASSIFICATION,FB2x2-true-CLASSIFICATION,no-feedback,real-val-loss,0.5926721260000001,0.021163720830192044
CLASSIFICATION,FB2x3-true-CLASSIFICATION,no-skip,tst-loss,2.40709994,1.1337497486900496
CLASSIFICATION,FB2x3-true-CLASSIFICATION,no-skip,tst-acc,0.32522,0.23196403514338165
CLASSIFICATION,FB2x3-true-CLASSIFICATION,no-skip,real-val-accr,0.79024,0.008267913884408812
CLASSIFICATION,FB2x3-true-CLASSIFICATION,no-skip,real-val-loss,0.5806293,0.01941384085965475
CLASSIFICATION,FB2x3-true-CLASSIFICATION,no-feedback,tst-loss,0.6788136339999999,0.04093234281245606
CLASSIFICATION,FB2x3-true-CLASSIFICATION,no-feedback,tst-acc,0.75218,0.01616680549768571
CLASSIFICATION,FB2x3-true-CLASSIFICATION,no-feedback,real-val-accr,0.79024,0.008267913884408812
CLASSIFICATION,FB2x3-true-CLASSIFICATION,no-feedback,real-val-loss,0.5806293,0.01941384085965475
CLASSIFICATION,FB1-false-CLASSIFICATION,no-feedback,tst-loss,0.823419196,0.12445138892921456
CLASSIFICATION,FB1-false-CLASSIFICATION,no-feedback,tst-acc,0.7083200000000001,0.05219081911600927
CLASSIFICATION,FB1-false-CLASSIFICATION,no-feedback,real-val-accr,0.76712,0.025431429373906616
CLASSIFICATION,FB1-false-CLASSIFICATION,no-feedback,real-val-loss,0.648376728,0.06567339329274784
CLASSIFICATION,FB2x2-false-CLASSIFICATION,no-feedback,tst-loss,0.5767604580000001,0.00968723778665807
CLASSIFICATION,FB2x2-false-CLASSIFICATION,no-feedback,tst-acc,0.78854,0.004383879560389404
CLASSIFICATION,FB2x2-false-CLASSIFICATION,no-feedback,real-val-accr,0.78854,0.004383879560389404
CLASSIFICATION,FB2x2-false-CLASSIFICATION,no-feedback,real-val-loss,0.5767604580000001,0.00968723778665807
CLASSIFICATION,FB2x3-false-CLASSIFICATION,no-feedback,tst-loss,1.0801604919999999,0.25831990350221073
CLASSIFICATION,FB2x3-false-CLASSIFICATION,no-feedback,tst-acc,0.58672,0.11185330392974539
CLASSIFICATION,FB2x3-false-CLASSIFICATION,no-feedback,real-val-accr,0.76398,0.027285629917595804
CLASSIFICATION,FB2x3-false-CLASSIFICATION,no-feedback,real-val-loss,0.653141916,0.08198505458942394
