problem,configuration,without,metric,mean,std
CLASSIFICATION,REGULAR-true-CLASSIFICATION,no-skip,val-loss,0.188715352,0.05743106393036904
CLASSIFICATION,REGULAR-true-CLASSIFICATION,no-skip,val-acc,0.9670329559999999,0.003475030083078983
CLASSIFICATION,REGULAR-true-CLASSIFICATION,no-skip,tst-loss,0.0464336268,0.013425516597958313
CLASSIFICATION,REGULAR-true-CLASSIFICATION,no-skip,tst-acc,0.9850574520000001,0.007795771679022924
CLASSIFICATION,REGULAR-true-CLASSIFICATION,no-skip,real-val-accr,0.9670329559999999,0.003475030083078983
CLASSIFICATION,REGULAR-true-CLASSIFICATION,no-skip,real-val-loss,0.19063643400000002,0.05580123317361816
CLASSIFICATION,FB1-true-CLASSIFICATION,no-skip,val-loss,0.73171586,0.5585238572851856
CLASSIFICATION,FB1-true-CLASSIFICATION,no-skip,val-acc,0.792307686,0.21164616689639676
CLASSIFICATION,FB1-true-CLASSIFICATION,no-skip,tst-loss,0.6118184132000001,0.621695994972675
CLASSIFICATION,FB1-true-CLASSIFICATION,no-skip,tst-acc,0.7999999980000001,0.21782746714142207
CLASSIFICATION,FB1-true-CLASSIFICATION,no-skip,real-val-accr,0.8230769120000001,0.17296436766953954
CLASSIFICATION,FB1-true-CLASSIFICATION,no-skip,real-val-loss,0.668279812,0.47742670938240844
CLASSIFICATION,FB1-true-CLASSIFICATION,no-feedback,val-loss,1.9118921199999999,0.2120759141457548
CLASSIFICATION,FB1-true-CLASSIFICATION,no-feedback,val-acc,0.516483526,0.11535844220053555
CLASSIFICATION,FB1-true-CLASSIFICATION,no-feedback,tst-loss,1.80695014,0.2139307718408513
CLASSIFICATION,FB1-true-CLASSIFICATION,no-feedback,tst-acc,0.5574712679999999,0.07971742658251292
CLASSIFICATION,FB1-true-CLASSIFICATION,no-feedback,real-val-accr,0.8230769120000001,0.17296436766953954
CLASSIFICATION,FB1-true-CLASSIFICATION,no-feedback,real-val-loss,0.668279812,0.47742670938240844
CLASSIFICATION,FB2x2-true-CLASSIFICATION,no-skip,val-loss,0.29228665,0.16797104676538607
CLASSIFICATION,FB2x2-true-CLASSIFICATION,no-skip,val-acc,0.96373625,0.011313880588669833
CLASSIFICATION,FB2x2-true-CLASSIFICATION,no-skip,tst-loss,0.14556975040000003,0.10103168195944652
CLASSIFICATION,FB2x2-true-CLASSIFICATION,no-skip,tst-acc,0.9735632280000001,0.008601512290732123
CLASSIFICATION,FB2x2-true-CLASSIFICATION,no-skip,real-val-accr,0.96373625,0.011313880588669833
CLASSIFICATION,FB2x2-true-CLASSIFICATION,no-skip,real-val-loss,0.292758876,0.16771174514178233
CLASSIFICATION,FB2x2-true-CLASSIFICATION,no-feedback,val-loss,4.14085646,2.981790443672351
CLASSIFICATION,FB2x2-true-CLASSIFICATION,no-feedback,val-acc,0.300000009,0.18624996620389744
CLASSIFICATION,FB2x2-true-CLASSIFICATION,no-feedback,tst-loss,3.8038551800000002,2.523419876393435
CLASSIFICATION,FB2x2-true-CLASSIFICATION,no-feedback,tst-acc,0.348275854,0.1797151293731769
CLASSIFICATION,FB2x2-true-CLASSIFICATION,no-feedback,real-val-accr,0.96373625,0.011313880588669833
CLASSIFICATION,FB2x2-true-CLASSIFICATION,no-feedback,real-val-loss,0.292758876,0.16771174514178233
CLASSIFICATION,FB2x3-true-CLASSIFICATION,no-skip,val-loss,0.227655982,0.08725604596587092
CLASSIFICATION,FB2x3-true-CLASSIFICATION,no-skip,val-acc,0.972527474,0.013002365218227943
CLASSIFICATION,FB2x3-true-CLASSIFICATION,no-skip,tst-loss,0.08566221200299999,0.06126986040858392
CLASSIFICATION,FB2x3-true-CLASSIFICATION,no-skip,tst-acc,0.980459772,0.010659334762159205
CLASSIFICATION,FB2x3-true-CLASSIFICATION,no-skip,real-val-accr,0.972527474,0.013002365218227943
CLASSIFICATION,FB2x3-true-CLASSIFICATION,no-skip,real-val-loss,0.228063662,0.08748341714987666
CLASSIFICATION,FB2x3-true-CLASSIFICATION,no-feedback,val-loss,3.13368888,0.22242290628793962
CLASSIFICATION,FB2x3-true-CLASSIFICATION,no-feedback,val-acc,0.28351648332,0.2550681768324309
CLASSIFICATION,FB2x3-true-CLASSIFICATION,no-feedback,tst-loss,3.1217995,0.2446543709362578
CLASSIFICATION,FB2x3-true-CLASSIFICATION,no-feedback,tst-acc,0.28850575668,0.24375947944756546
CLASSIFICATION,FB2x3-true-CLASSIFICATION,no-feedback,real-val-accr,0.972527474,0.013002365218227943
CLASSIFICATION,FB2x3-true-CLASSIFICATION,no-feedback,real-val-loss,0.228063662,0.08748341714987666
CLASSIFICATION,FB1-false-CLASSIFICATION,no-feedback,val-loss,1.771906392,0.8697378206132987
CLASSIFICATION,FB1-false-CLASSIFICATION,no-feedback,val-acc,0.530769246,0.2721550166741037
CLASSIFICATION,FB1-false-CLASSIFICATION,no-feedback,tst-loss,1.6920640744,0.9108580244902424
CLASSIFICATION,FB1-false-CLASSIFICATION,no-feedback,tst-acc,0.5724137920000001,0.2526017347112363
CLASSIFICATION,FB1-false-CLASSIFICATION,no-feedback,real-val-accr,0.7230769260000001,0.3243638825254293
CLASSIFICATION,FB1-false-CLASSIFICATION,no-feedback,real-val-loss,0.9462228580000002,0.9785351695167811
CLASSIFICATION,FB2x2-false-CLASSIFICATION,no-feedback,val-loss,4.14401064,1.8342323325338148
CLASSIFICATION,FB2x2-false-CLASSIFICATION,no-feedback,val-acc,0.34065934731999997,0.36075101198251014
CLASSIFICATION,FB2x2-false-CLASSIFICATION,no-feedback,tst-loss,4.09978478,1.8686730379453835
CLASSIFICATION,FB2x2-false-CLASSIFICATION,no-feedback,tst-acc,0.35172413787999995,0.3497616344055378
CLASSIFICATION,FB2x2-false-CLASSIFICATION,no-feedback,real-val-accr,0.974725278,0.006593400666695136
CLASSIFICATION,FB2x2-false-CLASSIFICATION,no-feedback,real-val-loss,0.201760882,0.028199690473678887
CLASSIFICATION,FB2x3-false-CLASSIFICATION,no-feedback,val-loss,3.30731942,0.15581627060031178
CLASSIFICATION,FB2x3-false-CLASSIFICATION,no-feedback,val-acc,0.10989011500000001,0.04877437824010287
CLASSIFICATION,FB2x3-false-CLASSIFICATION,no-feedback,tst-loss,3.2618976,0.16214230629283655
CLASSIFICATION,FB2x3-false-CLASSIFICATION,no-feedback,tst-acc,0.1091954026,0.05792921074555906
CLASSIFICATION,FB2x3-false-CLASSIFICATION,no-feedback,real-val-accr,0.964835158,0.011313880200153089
CLASSIFICATION,FB2x3-false-CLASSIFICATION,no-feedback,real-val-loss,0.23979642400000004,0.04885892212268855
REGRESSION,REGULAR-true-REGRESSION,no-skip,val-loss,697.0475819999999,15.475496863845654
REGRESSION,REGULAR-true-REGRESSION,no-skip,val-acc,0.0,0.0
REGRESSION,REGULAR-true-REGRESSION,no-skip,tst-loss,699.383038,8.531359617567164
REGRESSION,REGULAR-true-REGRESSION,no-skip,tst-acc,0.0,0.0
REGRESSION,REGULAR-true-REGRESSION,no-skip,real-val-accr,0.0,0.0
REGRESSION,REGULAR-true-REGRESSION,no-skip,real-val-loss,697.264596,15.08439656502519
REGRESSION,FB1-true-REGRESSION,no-skip,val-loss,820.569038,467.29819130540426
REGRESSION,FB1-true-REGRESSION,no-skip,val-acc,0.0,0.0
REGRESSION,FB1-true-REGRESSION,no-skip,tst-loss,799.736434,441.49988901328663
REGRESSION,FB1-true-REGRESSION,no-skip,tst-acc,0.0,0.0
REGRESSION,FB1-true-REGRESSION,no-skip,real-val-accr,0.0,0.0
REGRESSION,FB1-true-REGRESSION,no-skip,real-val-loss,821.345398,468.91473550026865
REGRESSION,FB1-true-REGRESSION,no-feedback,val-loss,2364.37242,269.32296941972396
REGRESSION,FB1-true-REGRESSION,no-feedback,val-acc,0.0,0.0
REGRESSION,FB1-true-REGRESSION,no-feedback,tst-loss,2303.6059,271.37640554322326
REGRESSION,FB1-true-REGRESSION,no-feedback,tst-acc,0.0,0.0
REGRESSION,FB1-true-REGRESSION,no-feedback,real-val-accr,0.0,0.0
REGRESSION,FB1-true-REGRESSION,no-feedback,real-val-loss,821.345398,468.91473550026865
REGRESSION,FB2x2-true-REGRESSION,no-skip,val-loss,551.799352,33.12845337626094
REGRESSION,FB2x2-true-REGRESSION,no-skip,val-acc,0.0,0.0
REGRESSION,FB2x2-true-REGRESSION,no-skip,tst-loss,539.486192,33.19903609497506
REGRESSION,FB2x2-true-REGRESSION,no-skip,tst-acc,0.0,0.0
REGRESSION,FB2x2-true-REGRESSION,no-skip,real-val-accr,0.0,0.0
REGRESSION,FB2x2-true-REGRESSION,no-skip,real-val-loss,551.701274,33.13686982632706
REGRESSION,FB2x2-true-REGRESSION,no-feedback,val-loss,2492.0296399999997,10.100559757280774
REGRESSION,FB2x2-true-REGRESSION,no-feedback,val-acc,0.0,0.0
REGRESSION,FB2x2-true-REGRESSION,no-feedback,tst-loss,2432.59482,9.923702676400538
REGRESSION,FB2x2-true-REGRESSION,no-feedback,tst-acc,0.0,0.0
REGRESSION,FB2x2-true-REGRESSION,no-feedback,real-val-accr,0.0,0.0
REGRESSION,FB2x2-true-REGRESSION,no-feedback,real-val-loss,551.701274,33.13686982632706
REGRESSION,FB2x3-true-REGRESSION,no-skip,val-loss,411.59604,45.084811494004065
REGRESSION,FB2x3-true-REGRESSION,no-skip,val-acc,0.0,0.0
REGRESSION,FB2x3-true-REGRESSION,no-skip,tst-loss,416.931548,35.619107210244
REGRESSION,FB2x3-true-REGRESSION,no-skip,tst-acc,0.0,0.0
REGRESSION,FB2x3-true-REGRESSION,no-skip,real-val-accr,0.0,0.0
REGRESSION,FB2x3-true-REGRESSION,no-skip,real-val-loss,411.5098760000001,45.111443701678
REGRESSION,FB2x3-true-REGRESSION,no-feedback,val-loss,2531.29484,3.3093260979238797
REGRESSION,FB2x3-true-REGRESSION,no-feedback,val-acc,0.0,0.0
REGRESSION,FB2x3-true-REGRESSION,no-feedback,tst-loss,2470.3840600000003,3.0430029205374924
REGRESSION,FB2x3-true-REGRESSION,no-feedback,tst-acc,0.0,0.0
REGRESSION,FB2x3-true-REGRESSION,no-feedback,real-val-accr,0.0,0.0
REGRESSION,FB2x3-true-REGRESSION,no-feedback,real-val-loss,411.5098760000001,45.111443701678
