problem,configuration,without,metric,mean,std
CLASSIFICATION,REGULAR-true-CLASSIFICATION,no-skip,val-loss,0.079142237,0.01362470114771221
CLASSIFICATION,REGULAR-true-CLASSIFICATION,no-skip,val-acc,0.9846153799999999,0.004111712647620217
CLASSIFICATION,REGULAR-true-CLASSIFICATION,no-skip,tst-loss,0.0028050479374,0.002515609922222317
CLASSIFICATION,REGULAR-true-CLASSIFICATION,no-skip,tst-acc,0.997701144,0.002815512096067775
CLASSIFICATION,REGULAR-true-CLASSIFICATION,no-skip,real-val-accr,0.9846153799999999,0.004111712647620217
CLASSIFICATION,REGULAR-true-CLASSIFICATION,no-skip,real-val-loss,0.07884203,0.013078897288876077
CLASSIFICATION,FB1-true-CLASSIFICATION,no-skip,val-loss,0.2823163,0.1291987669677074
CLASSIFICATION,FB1-true-CLASSIFICATION,no-skip,val-acc,0.954945042,0.024424294362423174
CLASSIFICATION,FB1-true-CLASSIFICATION,no-skip,tst-loss,0.1371449406,0.09336443270664874
CLASSIFICATION,FB1-true-CLASSIFICATION,no-skip,tst-acc,0.9724137800000001,0.01426396415003349
CLASSIFICATION,FB1-true-CLASSIFICATION,no-skip,real-val-accr,0.954945042,0.024424294362423174
CLASSIFICATION,FB1-true-CLASSIFICATION,no-skip,real-val-loss,0.282521478,0.13023167672766614
CLASSIFICATION,FB1-true-CLASSIFICATION,no-feedback,val-loss,4.10563644,1.1443066414249068
CLASSIFICATION,FB1-true-CLASSIFICATION,no-feedback,val-acc,0.20109890400000002,0.06955271535295703
CLASSIFICATION,FB1-true-CLASSIFICATION,no-feedback,tst-loss,4.0441496,1.05841746637693
CLASSIFICATION,FB1-true-CLASSIFICATION,no-feedback,tst-acc,0.20689655279999997,0.0822461801700829
CLASSIFICATION,FB1-true-CLASSIFICATION,no-feedback,real-val-accr,0.954945042,0.024424294362423174
CLASSIFICATION,FB1-true-CLASSIFICATION,no-feedback,real-val-loss,0.282521478,0.13023167672766614
CLASSIFICATION,FB2x2-true-CLASSIFICATION,no-skip,val-loss,0.24235135400000002,0.05527565384310224
CLASSIFICATION,FB2x2-true-CLASSIFICATION,no-skip,val-acc,0.971428568,0.008075244810353157
CLASSIFICATION,FB2x2-true-CLASSIFICATION,no-skip,tst-loss,0.042270391340000005,0.0258988218103117
CLASSIFICATION,FB2x2-true-CLASSIFICATION,no-skip,tst-acc,0.989655168,0.006702235364826867
CLASSIFICATION,FB2x2-true-CLASSIFICATION,no-skip,real-val-accr,0.971428568,0.008075244810353157
CLASSIFICATION,FB2x2-true-CLASSIFICATION,no-skip,real-val-loss,0.24234278599999998,0.05521292209694451
CLASSIFICATION,FB2x2-true-CLASSIFICATION,no-feedback,val-loss,3.61954134,0.21823421317917677
CLASSIFICATION,FB2x2-true-CLASSIFICATION,no-feedback,val-acc,0.04175824232000001,0.03768445813918909
CLASSIFICATION,FB2x2-true-CLASSIFICATION,no-feedback,tst-loss,3.69879458,0.19176879498018867
CLASSIFICATION,FB2x2-true-CLASSIFICATION,no-feedback,tst-acc,0.027586207399999996,0.0244911215989117
CLASSIFICATION,FB2x2-true-CLASSIFICATION,no-feedback,real-val-accr,0.971428568,0.008075244810353157
CLASSIFICATION,FB2x2-true-CLASSIFICATION,no-feedback,real-val-loss,0.24234278599999998,0.05521292209694451
CLASSIFICATION,FB2x3-true-CLASSIFICATION,no-skip,val-loss,2.1674821399999997,0.6281571736644536
CLASSIFICATION,FB2x3-true-CLASSIFICATION,no-skip,val-acc,0.8186813240000002,0.049876065041521735
CLASSIFICATION,FB2x3-true-CLASSIFICATION,no-skip,tst-loss,2.29611258,1.013237940475005
CLASSIFICATION,FB2x3-true-CLASSIFICATION,no-skip,tst-acc,0.8034482799999999,0.07941854236542999
CLASSIFICATION,FB2x3-true-CLASSIFICATION,no-skip,real-val-accr,0.8186813240000002,0.049876065041521735
CLASSIFICATION,FB2x3-true-CLASSIFICATION,no-skip,real-val-loss,2.1673658799999997,0.6285010716409842
CLASSIFICATION,FB2x3-true-CLASSIFICATION,no-feedback,val-loss,3.5512118200000002,0.1784075445308119
CLASSIFICATION,FB2x3-true-CLASSIFICATION,no-feedback,val-acc,0.027472528200000002,0.017719247878194982
CLASSIFICATION,FB2x3-true-CLASSIFICATION,no-feedback,tst-loss,3.51755104,0.21492695350378554
CLASSIFICATION,FB2x3-true-CLASSIFICATION,no-feedback,tst-acc,0.0229885058,0.01625532805768359
CLASSIFICATION,FB2x3-true-CLASSIFICATION,no-feedback,real-val-accr,0.8186813240000002,0.049876065041521735
CLASSIFICATION,FB2x3-true-CLASSIFICATION,no-feedback,real-val-loss,2.1673658799999997,0.6285010716409842
CLASSIFICATION,FB1-false-CLASSIFICATION,no-feedback,val-loss,4.22468172,1.260626989843042
CLASSIFICATION,FB1-false-CLASSIFICATION,no-feedback,val-acc,0.18241758960000004,0.1281716388857916
CLASSIFICATION,FB1-false-CLASSIFICATION,no-feedback,tst-loss,4.44433496,1.319999524785576
CLASSIFICATION,FB1-false-CLASSIFICATION,no-feedback,tst-acc,0.148275864,0.11622275604660126
CLASSIFICATION,FB1-false-CLASSIFICATION,no-feedback,real-val-accr,0.9472527320000002,0.02372201045703453
CLASSIFICATION,FB1-false-CLASSIFICATION,no-feedback,real-val-loss,0.304997636,0.1713254112191782
CLASSIFICATION,FB2x2-false-CLASSIFICATION,no-feedback,val-loss,3.5854410800000003,0.17439096095301954
CLASSIFICATION,FB2x2-false-CLASSIFICATION,no-feedback,val-acc,0.045054947199999994,0.049438340500618995
CLASSIFICATION,FB2x2-false-CLASSIFICATION,no-feedback,tst-loss,3.6006981799999997,0.2766688044633611
CLASSIFICATION,FB2x2-false-CLASSIFICATION,no-feedback,tst-acc,0.05632184039999999,0.08155251593579313
CLASSIFICATION,FB2x2-false-CLASSIFICATION,no-feedback,real-val-accr,0.965934052,0.0064076608200196936
CLASSIFICATION,FB2x2-false-CLASSIFICATION,no-feedback,real-val-loss,0.266270666,0.07307614077248376
CLASSIFICATION,FB2x3-false-CLASSIFICATION,no-feedback,val-loss,3.4545387599999997,0.16929815217711744
CLASSIFICATION,FB2x3-false-CLASSIFICATION,no-feedback,val-acc,0.043956045000000006,0.028016590879712568
