problem,configuration,without,metric,probed_mean,probed_std
CLASSIFICATION,REGULAR-true-CLASSIFICATION,no-skip,tst-loss,5.44587536,2.2566347598370147
CLASSIFICATION,REGULAR-true-CLASSIFICATION,no-skip,tst-acc,0.46666667199999995,0.2624669298110613
CLASSIFICATION,REGULAR-true-CLASSIFICATION,no-skip,real-val-accr,0.779999978,0.3109840889963489
CLASSIFICATION,REGULAR-true-CLASSIFICATION,no-skip,real-val-loss,1.8535428380000003,3.333278995854329
CLASSIFICATION,FB1-true-CLASSIFICATION,no-skip,tst-loss,2.072782482,1.995391179338199
CLASSIFICATION,FB1-true-CLASSIFICATION,no-skip,tst-acc,0.7466666620000001,0.09568466330144754
CLASSIFICATION,FB1-true-CLASSIFICATION,no-skip,real-val-accr,0.78666668,0.1586050177152181
CLASSIFICATION,FB1-true-CLASSIFICATION,no-skip,real-val-loss,0.607391942,0.5998802499772348
CLASSIFICATION,FB1-true-CLASSIFICATION,no-feedback,tst-loss,6.4542908400000005,2.8448270647930176
CLASSIFICATION,FB1-true-CLASSIFICATION,no-feedback,tst-acc,0.48666666799999997,0.19618585165885724
CLASSIFICATION,FB1-true-CLASSIFICATION,no-feedback,real-val-accr,0.78666668,0.1586050177152181
CLASSIFICATION,FB1-true-CLASSIFICATION,no-feedback,real-val-loss,0.607391942,0.5998802499772348
CLASSIFICATION,FB2x2-true-CLASSIFICATION,no-skip,tst-loss,2.188360574,1.9316981983978456
CLASSIFICATION,FB2x2-true-CLASSIFICATION,no-skip,tst-acc,0.77333334,0.17178798354043545
CLASSIFICATION,FB2x2-true-CLASSIFICATION,no-skip,real-val-accr,0.846666658,0.13097923180582738
CLASSIFICATION,FB2x2-true-CLASSIFICATION,no-skip,real-val-loss,1.773032552,1.9304684528568865
CLASSIFICATION,FB2x2-true-CLASSIFICATION,no-feedback,tst-loss,9.034752659999999,1.6491833302516925
CLASSIFICATION,FB2x2-true-CLASSIFICATION,no-feedback,tst-acc,0.233333336,0.10327955718985896
CLASSIFICATION,FB2x2-true-CLASSIFICATION,no-feedback,real-val-accr,0.846666658,0.13097923180582738
CLASSIFICATION,FB2x2-true-CLASSIFICATION,no-feedback,real-val-loss,1.773032552,1.9304684528568865
CLASSIFICATION,FB2x3-true-CLASSIFICATION,no-skip,tst-loss,2.303871302,2.5307863439586136
CLASSIFICATION,FB2x3-true-CLASSIFICATION,no-skip,tst-acc,0.7600000039999999,0.19482184604858394
CLASSIFICATION,FB2x3-true-CLASSIFICATION,no-skip,real-val-accr,0.813333336,0.16411377468086094
CLASSIFICATION,FB2x3-true-CLASSIFICATION,no-skip,real-val-loss,1.6979708272,2.2576956386808114
CLASSIFICATION,FB2x3-true-CLASSIFICATION,no-feedback,tst-loss,8.19463132,2.864707251887454
CLASSIFICATION,FB2x3-true-CLASSIFICATION,no-feedback,tst-acc,0.386666668,0.219696760589075
CLASSIFICATION,FB2x3-true-CLASSIFICATION,no-feedback,real-val-accr,0.813333336,0.16411377468086094
CLASSIFICATION,FB2x3-true-CLASSIFICATION,no-feedback,real-val-loss,1.6979708272,2.2576956386808114
CLASSIFICATION,FB2x4-true-CLASSIFICATION,no-skip,tst-loss,1.0661156830159997,1.176086100476682
CLASSIFICATION,FB2x4-true-CLASSIFICATION,no-skip,tst-acc,0.9133333260000001,0.08055364269299846
CLASSIFICATION,FB2x4-true-CLASSIFICATION,no-skip,real-val-accr,0.906666646,0.09043106993113055
CLASSIFICATION,FB2x4-true-CLASSIFICATION,no-skip,real-val-loss,0.791720248024,1.0366258395183614
CLASSIFICATION,FB2x4-true-CLASSIFICATION,no-feedback,tst-loss,6.686926939999999,1.747644250374891
CLASSIFICATION,FB2x4-true-CLASSIFICATION,no-feedback,tst-acc,0.353333336,0.12754084480406008
CLASSIFICATION,FB2x4-true-CLASSIFICATION,no-feedback,real-val-accr,0.906666646,0.09043106993113055
CLASSIFICATION,FB2x4-true-CLASSIFICATION,no-feedback,real-val-loss,0.791720248024,1.0366258395183614
CLASSIFICATION,FB1-false-CLASSIFICATION,no-feedback,tst-loss,4.632703628,2.6350983111794073
CLASSIFICATION,FB1-false-CLASSIFICATION,no-feedback,tst-acc,0.5333333360000001,0.2338090377494706
CLASSIFICATION,FB1-false-CLASSIFICATION,no-feedback,real-val-accr,0.699999993,0.34318766521475674
CLASSIFICATION,FB1-false-CLASSIFICATION,no-feedback,real-val-loss,1.953259169,3.1306556871905618
CLASSIFICATION,FB2x2-false-CLASSIFICATION,no-feedback,tst-loss,8.54815086,0.618926531128694
CLASSIFICATION,FB2x2-false-CLASSIFICATION,no-feedback,tst-acc,0.28666666999999996,0.1667999493738266
CLASSIFICATION,FB2x2-false-CLASSIFICATION,no-feedback,real-val-accr,0.906666668,0.11035296937051083
CLASSIFICATION,FB2x2-false-CLASSIFICATION,no-feedback,real-val-loss,0.2698573824,0.22380081922628972
CLASSIFICATION,FB2x3-false-CLASSIFICATION,no-feedback,tst-loss,6.856181219999999,2.4191867068243313
CLASSIFICATION,FB2x3-false-CLASSIFICATION,no-feedback,tst-acc,0.49999999199999995,0.16865479642024941
CLASSIFICATION,FB2x3-false-CLASSIFICATION,no-feedback,real-val-accr,0.833333326,0.18499249041815527
CLASSIFICATION,FB2x3-false-CLASSIFICATION,no-feedback,real-val-loss,1.5126013986,2.466227796990926
CLASSIFICATION,FB2x4-false-CLASSIFICATION,no-feedback,tst-loss,6.679372559999999,2.1661541924911516
CLASSIFICATION,FB2x4-false-CLASSIFICATION,no-feedback,tst-acc,0.49999999799999995,0.1520233818273436
CLASSIFICATION,FB2x4-false-CLASSIFICATION,no-feedback,real-val-accr,0.8333333359999999,0.22110831774896697
CLASSIFICATION,FB2x4-false-CLASSIFICATION,no-feedback,real-val-loss,1.852573025954,2.9608465201260037
problem,configuration,without,metric,mean,std
CLASSIFICATION,REGULAR-true-CLASSIFICATION,no-skip,tst-loss,5.44587536,2.2566347598370147
CLASSIFICATION,REGULAR-true-CLASSIFICATION,no-skip,tst-acc,0.46666667199999995,0.2624669298110613
CLASSIFICATION,REGULAR-true-CLASSIFICATION,no-skip,real-val-accr,0.779999978,0.3109840889963489
CLASSIFICATION,REGULAR-true-CLASSIFICATION,no-skip,real-val-loss,1.8535428380000003,3.333278995854329
CLASSIFICATION,FB1-true-CLASSIFICATION,no-skip,tst-loss,2.072782482,1.995391179338199
CLASSIFICATION,FB1-true-CLASSIFICATION,no-skip,tst-acc,0.7466666620000001,0.09568466330144754
CLASSIFICATION,FB1-true-CLASSIFICATION,no-skip,real-val-accr,0.78666668,0.1586050177152181
CLASSIFICATION,FB1-true-CLASSIFICATION,no-skip,real-val-loss,0.607391942,0.5998802499772348
CLASSIFICATION,FB1-true-CLASSIFICATION,no-feedback,tst-loss,6.4542908400000005,2.8448270647930176
CLASSIFICATION,FB1-true-CLASSIFICATION,no-feedback,tst-acc,0.48666666799999997,0.19618585165885724
CLASSIFICATION,FB1-true-CLASSIFICATION,no-feedback,real-val-accr,0.78666668,0.1586050177152181
CLASSIFICATION,FB1-true-CLASSIFICATION,no-feedback,real-val-loss,0.607391942,0.5998802499772348
CLASSIFICATION,FB2x2-true-CLASSIFICATION,no-skip,tst-loss,2.188360574,1.9316981983978456
CLASSIFICATION,FB2x2-true-CLASSIFICATION,no-skip,tst-acc,0.77333334,0.17178798354043545
CLASSIFICATION,FB2x2-true-CLASSIFICATION,no-skip,real-val-accr,0.846666658,0.13097923180582738
CLASSIFICATION,FB2x2-true-CLASSIFICATION,no-skip,real-val-loss,1.773032552,1.9304684528568865
CLASSIFICATION,FB2x2-true-CLASSIFICATION,no-feedback,tst-loss,9.034752659999999,1.6491833302516925
CLASSIFICATION,FB2x2-true-CLASSIFICATION,no-feedback,tst-acc,0.233333336,0.10327955718985896
CLASSIFICATION,FB2x2-true-CLASSIFICATION,no-feedback,real-val-accr,0.846666658,0.13097923180582738
CLASSIFICATION,FB2x2-true-CLASSIFICATION,no-feedback,real-val-loss,1.773032552,1.9304684528568865
CLASSIFICATION,FB2x3-true-CLASSIFICATION,no-skip,tst-loss,2.303871302,2.5307863439586136
CLASSIFICATION,FB2x3-true-CLASSIFICATION,no-skip,tst-acc,0.7600000039999999,0.19482184604858394
CLASSIFICATION,FB2x3-true-CLASSIFICATION,no-skip,real-val-accr,0.813333336,0.16411377468086094
CLASSIFICATION,FB2x3-true-CLASSIFICATION,no-skip,real-val-loss,1.6979708272,2.2576956386808114
CLASSIFICATION,FB2x3-true-CLASSIFICATION,no-feedback,tst-loss,8.19463132,2.864707251887454
CLASSIFICATION,FB2x3-true-CLASSIFICATION,no-feedback,tst-acc,0.386666668,0.219696760589075
CLASSIFICATION,FB2x3-true-CLASSIFICATION,no-feedback,real-val-accr,0.813333336,0.16411377468086094
CLASSIFICATION,FB2x3-true-CLASSIFICATION,no-feedback,real-val-loss,1.6979708272,2.2576956386808114
CLASSIFICATION,FB2x4-true-CLASSIFICATION,no-skip,tst-loss,1.0661156830159997,1.176086100476682
CLASSIFICATION,FB2x4-true-CLASSIFICATION,no-skip,tst-acc,0.9133333260000001,0.08055364269299846
CLASSIFICATION,FB2x4-true-CLASSIFICATION,no-skip,real-val-accr,0.906666646,0.09043106993113055
CLASSIFICATION,FB2x4-true-CLASSIFICATION,no-skip,real-val-loss,0.791720248024,1.0366258395183614
CLASSIFICATION,FB2x4-true-CLASSIFICATION,no-feedback,tst-loss,6.686926939999999,1.747644250374891
CLASSIFICATION,FB2x4-true-CLASSIFICATION,no-feedback,tst-acc,0.353333336,0.12754084480406008
