problem,configuration,without,metric,mean,std
CLASSIFICATION,REGULAR-true-CLASSIFICATION,no-skip,tst-loss,1.2681621079999998,1.407124881919656
CLASSIFICATION,REGULAR-true-CLASSIFICATION,no-skip,tst-acc,0.6938000000000001,0.29045560762360917
CLASSIFICATION,REGULAR-true-CLASSIFICATION,no-skip,real-val-accr,0.923,0.003318433365309589
CLASSIFICATION,REGULAR-true-CLASSIFICATION,no-skip,real-val-loss,0.25380908399999996,0.01198243493377469
CLASSIFICATION,FB1-true-CLASSIFICATION,no-skip,tst-loss,1.2739518660000002,0.8455562345794819
CLASSIFICATION,FB1-true-CLASSIFICATION,no-skip,tst-acc,0.6370799999999999,0.21043494386626949
CLASSIFICATION,FB1-true-CLASSIFICATION,no-skip,real-val-accr,0.9100199999999999,0.01095178524259857
CLASSIFICATION,FB1-true-CLASSIFICATION,no-skip,real-val-loss,0.301393164,0.04382944635435159
CLASSIFICATION,FB1-true-CLASSIFICATION,no-feedback,tst-loss,0.87960192,0.24923966131810887
CLASSIFICATION,FB1-true-CLASSIFICATION,no-feedback,tst-acc,0.71728,0.07162899971380307
CLASSIFICATION,FB1-true-CLASSIFICATION,no-feedback,real-val-accr,0.9100199999999999,0.01095178524259857
CLASSIFICATION,FB1-true-CLASSIFICATION,no-feedback,real-val-loss,0.301393164,0.04382944635435159
CLASSIFICATION,FB2x2-true-CLASSIFICATION,no-skip,tst-loss,1.0794364900000002,0.9912813932970873
CLASSIFICATION,FB2x2-true-CLASSIFICATION,no-skip,tst-acc,0.7146799999999999,0.2431416657012944
CLASSIFICATION,FB2x2-true-CLASSIFICATION,no-skip,real-val-accr,0.9207000000000001,0.010671832082636945
CLASSIFICATION,FB2x2-true-CLASSIFICATION,no-skip,real-val-loss,0.25677873800000006,0.03954248116089753
CLASSIFICATION,FB2x2-true-CLASSIFICATION,no-feedback,tst-loss,0.25677873800000006,0.03954248116089753
CLASSIFICATION,FB2x2-true-CLASSIFICATION,no-feedback,tst-acc,0.9207000000000001,0.010671832082636945
CLASSIFICATION,FB2x2-true-CLASSIFICATION,no-feedback,real-val-accr,0.9207000000000001,0.010671832082636945
CLASSIFICATION,FB2x2-true-CLASSIFICATION,no-feedback,real-val-loss,0.25677873800000006,0.03954248116089753
CLASSIFICATION,FB2x3-true-CLASSIFICATION,no-skip,tst-loss,1.3472103279999998,1.3772365714192956
CLASSIFICATION,FB2x3-true-CLASSIFICATION,no-skip,tst-acc,0.66538,0.25864967349679757
CLASSIFICATION,FB2x3-true-CLASSIFICATION,no-skip,real-val-accr,0.92096,0.007576173176478995
CLASSIFICATION,FB2x3-true-CLASSIFICATION,no-skip,real-val-loss,0.25853346600000005,0.019869784531851977
CLASSIFICATION,FB2x3-true-CLASSIFICATION,no-feedback,tst-loss,0.7806950199999999,0.21355504954734644
CLASSIFICATION,FB2x3-true-CLASSIFICATION,no-feedback,tst-acc,0.7633800000000001,0.06150165526227729
CLASSIFICATION,FB2x3-true-CLASSIFICATION,no-feedback,real-val-accr,0.92096,0.007576173176478995
CLASSIFICATION,FB2x3-true-CLASSIFICATION,no-feedback,real-val-loss,0.25853346600000005,0.019869784531851977
CLASSIFICATION,FB1-false-CLASSIFICATION,no-feedback,tst-loss,1.004189496,0.2920153014722788
CLASSIFICATION,FB1-false-CLASSIFICATION,no-feedback,tst-acc,0.6921599999999999,0.05921218117921344
CLASSIFICATION,FB1-false-CLASSIFICATION,no-feedback,real-val-accr,0.8930399999999998,0.02972995795489795
CLASSIFICATION,FB1-false-CLASSIFICATION,no-feedback,real-val-loss,0.34558998,0.08553890742040397
CLASSIFICATION,FB2x2-false-CLASSIFICATION,no-feedback,tst-loss,0.241373672,0.034681562549593065
CLASSIFICATION,FB2x2-false-CLASSIFICATION,no-feedback,tst-acc,0.92622,0.010551663375980128
CLASSIFICATION,FB2x2-false-CLASSIFICATION,no-feedback,real-val-accr,0.92622,0.010551663375980128
CLASSIFICATION,FB2x2-false-CLASSIFICATION,no-feedback,real-val-loss,0.241373672,0.034681562549593065
CLASSIFICATION,FB2x3-false-CLASSIFICATION,no-feedback,tst-loss,1.4713025199999996,0.7398097241362169
CLASSIFICATION,FB2x3-false-CLASSIFICATION,no-feedback,tst-acc,0.6131599999999999,0.1261935275677798
CLASSIFICATION,FB2x3-false-CLASSIFICATION,no-feedback,real-val-accr,0.9183199999999999,0.009881578821220826
CLASSIFICATION,FB2x3-false-CLASSIFICATION,no-feedback,real-val-loss,0.270557248,0.03348006834531279
